Date,Open,High,Low,Close,Adj Close,Volume
2023-07-22,0.039463,0.040064,0.034659,0.037259,0.037259,511239
2023-07-23,0.037267,0.037380,0.033946,0.034621,0.034621,627781
2023-07-24,0.034603,0.035776,0.032248,0.032777,0.032777,531865
2023-07-25,0.032781,0.033357,0.032367,0.032647,0.032647,552590
2023-07-26,0.032667,0.036315,0.032579,0.034614,0.034614,575049
2023-07-27,0.034616,0.034639,0.032930,0.033014,0.033014,458592
2023-07-28,0.033008,0.033027,0.031220,0.031230,0.031230,553390
2023-07-29,0.031232,0.031248,0.029640,0.029681,0.029681,504939
2023-07-30,0.029687,0.030548,0.025502,0.026550,0.026550,499053
2023-07-31,0.026543,0.028453,0.024844,0.028425,0.028425,666009
2023-08-01,0.028425,0.028499,0.023238,0.025608,0.025608,518774
2023-08-02,0.025607,0.025671,0.021506,0.021602,0.021602,489188
2023-08-03,0.021602,0.025819,0.021252,0.021682,0.021682,647310
2023-08-04,0.021682,0.022988,0.015530,0.017906,0.017906,523496
2023-08-05,0.017906,0.021418,0.017905,0.021351,0.021351,601362
2023-08-06,0.021357,0.021439,0.019221,0.019235,0.019235,458210
2023-08-07,0.019250,0.021200,0.019206,0.019568,0.019568,516088
2023-08-08,0.019568,0.019630,0.016292,0.016591,0.016591,450184
2023-08-09,0.016583,0.016606,0.013633,0.013788,0.013788,451887
2023-08-10,0.013784,0.016939,0.013757,0.016782,0.016782,689825
2023-08-11,0.016863,0.016895,0.015621,0.015674,0.015674,557122
2023-08-12,0.015675,0.015882,0.015381,0.015808,0.015808,574096
2023-08-13,0.015806,0.015813,0.014610,0.014623,0.014623,539897
2023-08-14,0.014621,0.014644,0.013590,0.013596,0.013596,489125
2023-08-15,0.013594,0.014942,0.013529,0.014775,0.014775,696650
2023-08-16,0.014774,0.014790,0.014542,0.014627,0.014627,603288
2023-08-17,0.014624,0.014627,0.012665,0.013499,0.013499,462640
2023-08-18,0.013499,0.013639,0.013131,0.013328,0.013328,621475
2023-08-19,0.013330,0.013719,0.013078,0.013107,0.013107,609360
2023-08-20,0.013109,0.013233,0.013038,0.013174,0.013174,423314
2023-08-21,0.013175,0.013190,0.011282,0.011444,0.011444,482223
2023-08-22,0.011446,0.011601,0.011244,0.011520,0.011520,514947
2023-08-23,0.011520,0.011734,0.011265,0.011673,0.011673,675756
2023-08-24,0.011674,0.016659,0.011089,0.013358,0.013358,695789
2023-08-25,0.013356,0.061644,0.013107,0.016692,0.016692,2628639
2023-08-26,0.016692,0.019173,0.016019,0.017028,0.017028,518754
2023-08-27,0.017028,0.021196,0.016915,0.019422,0.019422,657449
2023-08-28,0.019421,0.031871,0.019365,0.025713,0.025713,1095259
2023-08-29,0.025706,0.027952,0.023572,0.026099,0.026099,707592
2023-08-30,0.026098,0.026376,0.024463,0.024870,0.024870,590696
2023-08-31,0.024866,0.025093,0.021369,0.022063,0.022063,624370
2023-09-01,0.022066,0.022162,0.020497,0.020720,0.020720,440968
2023-09-02,0.020720,0.023341,0.020707,0.021386,0.021386,521026
2023-09-03,0.021389,0.021467,0.020318,0.020474,0.020474,478678
2023-09-04,0.020475,0.020562,0.018499,0.019626,0.019626,565707
